CompanyName,Total Sales per Supplier
Aux joyeux ecclésiastiques,"153,691"
Plutzer Lebensmittelgroßmärkte AG,"145,372"
Gai pâturage,"117,981"
"Pavlova, Ltd.","106,460"
"G'day, Mate","65,627"
Forêts d'érables,"61,588"
Pasta Buttini s.r.l.,"50,255"
Formaggi Fortini s.r.l.,"48,225"
"Specialty Biscuits, Ltd.","46,244"
Norske Meierier,"43,142"
Leka Trading,"42,018"
Grandma Kelly's Homestead,"41,953"
Heli Süßwaren GmbH & Co. KG,"38,653"
Exotic Liquids,"32,188"
New Orleans Cajun Delights,"31,168"
Tokyo Traders,"30,526"
Karkki Oy,"28,443"
New England Seafood Cannery,"26,591"
Cooperativa de Quesos 'Las Cabras',"25,159"
Bigfoot Breweries,"22,391"
Ma Maison,"22,155"
Svensk Sjöföda AB,"20,144"
Mayumi's,"14,737"
Nord-Ost-Fisch Handelsgesellschaft mbH,"13,424"
PB Knäckebröd AB,"11,724"
Lyngbysild,"10,221"
